EMPID,FIRST,LAST,RECTYPE,EFFDATE,POSITION
Z507208,AARON,WOOD,HIRE,2/6/2004,SERVER
Z304857,PHIL,JOHNSON,HIRE,3/5/2001,SERVER
Z304857,PHIL,JOHNSON,TERM,6/6/2006,SERVER
Z529415,PETE,JACKSON,HIRE,4/15/2001,SERVER
Z529415,PETE,JACKSON,TERM,12/27/2002,SERVER
Z888277,JACK,SIMMONS,HIRE,9/22/2006,SERVER
Z342381,TOM,BLAKE,HIRE,8/17/2000,KITCHEN
Z342381,TOM,BLAKE,TERM,5/4/2002,KITCHEN
Z831654,SUE,ANDOVER,HIRE,5/17/2003,KITCHEN
Z831654,SUE,ANDOVER,TERM,12/26/2004,KITCHEN
Z284042,SAM,HERNANDEZ,HIRE,1/2/2005,KITCHEN
Z980987,LAURIE,ALEXANDER,HIRE,6/19/2004,KITCHEN
Z980987,LAURIE,ALEXANDER,POS,6/23/2005,SERVER
Z910703,EDWIN,COOK,HIRE,6/16/2003,KITCHEN
Z910703,EDWIN,COOK,TERM,5/15/2005,KITCHEN
Z940926,ALBERT,SCHWEITZER,HIRE,9/14/2000,SERVER
Z940926,ALBERT,SCHWEITZER,TERM,5/21/2002,SERVER
Z772028,RONNIE,THOMPSON,HIRE,2/28/2003,SERVER
Z565332,VICTOR,DAVIS,HIRE,12/18/2004,SERVER
Z565332,VICTOR,DAVIS,POS,5/15/2005,LOCATION MGR
Z565332,VICTOR,DAVIS,TERM,7/6/2006,LOCATION MGR
Z294605,DAVID ,PERKINS,HIRE,11/5/2003,SERVER
Z294605,DAVID ,PERKINS,TERM,6/10/2005,SERVER
Z324053,JENNIFER,MOLLY,HIRE,9/9/2007,SERVER
Z187169,LISA,COOK,HIRE,4/22/2005,KITCHEN
Z187169,LISA,COOK,TERM,11/1/2006,KITCHEN
Z128570,BILL,EVANSON,HIRE,10/2/2000,KITCHEN
Z128570,BILL,EVANSON,TERM,3/7/2002,KITCHEN
Z270823,TERESA,MURAYA,HIRE,10/2/2000,KITCHEN
Z945603,SCOTT,PETERS,HIRE,9/14/2006,SERVER
Z863957,JAMIE,BLANK,HIRE,8/15/2004,SERVER
Z863957,JAMIE,BLANK,POS,8/27/2005,ASST MGR
Z987094,JESSICA,CROFT,HIRE,7/7/2007,SERVER
Z126330,LARRY,BECKMAN,HIRE,3/21/2000,LOCATION MGR
